order_id,payment_sequential,payment_type,payment_installments,payment_value
order_00000,1,debit_card,1,472.96
order_00001,1,credit_card,4,420.83
order_00002,1,credit_card,1,935.04
order_00003,1,boleto,3,282.17
order_00004,1,voucher,7,420.76
order_00005,1,credit_card,5,646.22
order_00006,1,voucher,1,476.57
order_00007,1,credit_card,6,883.86
order_00008,1,boleto,2,372.24
order_00009,1,credit_card,1,643.34
order_00010,1,credit_card,1,144.44
order_00011,1,debit_card,7,570.39
order_00012,1,credit_card,5,1079.23
order_00013,1,credit_card,7,963.85
order_00014,1,credit_card,2,420.52
order_00015,1,credit_card,6,311.55
order_00016,1,credit_card,3,735.02
order_00017,1,credit_card,6,420.34
order_00018,1,credit_card,4,983.87
order_00019,1,credit_card,4,378.92
order_00020,1,credit_card,4,301.51
order_00021,1,credit_card,2,228.26
order_00022,1,credit_card,7,856.48
order_00023,1,credit_card,1,871.43
order_00024,1,credit_card,1,432.73
order_00025,1,debit_card,4,335.79
order_00026,1,debit_card,7,648.03
order_00027,1,credit_card,2,795.47
order_00028,1,credit_card,4,460.97
order_00029,1,credit_card,3,343.19
order_00030,1,voucher,4,262.11
order_00031,1,credit_card,3,239.16
order_00032,1,credit_card,2,387.68
order_00033,1,debit_card,2,997.52
order_00034,1,credit_card,7,294.91
order_00035,1,credit_card,3,72.15
order_00036,1,boleto,1,735.56
order_00037,1,boleto,6,401.67
order_00038,1,credit_card,7,198.96
order_00039,1,credit_card,7,100.71
order_00040,1,voucher,3,382.19
order_00041,1,credit_card,4,337.84
order_00042,1,credit_card,6,494.58
order_00043,1,debit_card,2,695.21
order_00044,1,credit_card,3,917.47
order_00045,1,boleto,1,538.46
order_00046,1,credit_card,2,450.16
order_00047,1,credit_card,3,342.69
order_00048,1,voucher,2,444.49
order_00049,1,debit_card,4,63.18
order_00050,1,credit_card,5,554.42
order_00051,1,credit_card,7,716.12
order_00052,1,credit_card,2,478.11
order_00053,1,voucher,5,807.44
order_00054,1,credit_card,4,528.42
order_00055,1,credit_card,6,770.46
order_00056,1,voucher,6,678.93
order_00057,1,credit_card,7,561.17
order_00058,1,boleto,7,555.46
order_00059,1,debit_card,4,747.52
order_00060,1,boleto,6,355.48
order_00061,1,credit_card,4,50.98
order_00062,1,voucher,3,570.87
order_00063,1,credit_card,3,615.81
order_00064,1,credit_card,4,510.55
order_00065,1,debit_card,6,526.81
order_00066,1,credit_card,3,949.93
order_00067,1,voucher,2,367.75
order_00068,1,debit_card,2,342.36
order_00069,1,credit_card,5,677.78
order_00070,1,boleto,5,283.86
order_00071,1,debit_card,4,538.29
order_00072,1,credit_card,7,680.15
order_00073,1,boleto,7,1091.29
order_00074,1,boleto,3,1068.53
order_00075,1,credit_card,5,751.62
order_00076,1,credit_card,1,709.76
order_00077,1,credit_card,7,455.36
order_00078,1,credit_card,6,652.94
order_00079,1,credit_card,3,796.83
order_00080,1,credit_card,6,194.08
order_00081,1,debit_card,7,304.57
order_00082,1,credit_card,5,412.68
order_00083,1,debit_card,2,786.53
order_00084,1,credit_card,3,400.28
order_00085,1,credit_card,4,231.87
order_00086,1,voucher,2,766.95
order_00087,1,boleto,1,742.98
order_00088,1,debit_card,4,550.39
order_00089,1,debit_card,4,439.54
order_00090,1,credit_card,5,537.32
order_00091,1,credit_card,5,268.63
order_00092,1,debit_card,3,91.34
order_00093,1,voucher,4,686.63
order_00094,1,credit_card,6,515.3
order_00095,1,credit_card,3,1127.42
order_00096,1,credit_card,6,376.83
order_00097,1,credit_card,6,480.67
order_00098,1,debit_card,3,586.8
order_00099,1,credit_card,2,282.8
order_00100,1,credit_card,5,161.38
order_00101,1,voucher,4,541.41
order_00102,1,credit_card,3,355.76
order_00103,1,boleto,7,408.77
order_00104,1,credit_card,2,417.93
order_00105,1,credit_card,6,244.91
order_00106,1,credit_card,2,298.66
order_00107,1,credit_card,4,862.67
order_00108,1,credit_card,6,588.38
order_00109,1,voucher,4,748.63
order_00110,1,voucher,6,458.65
order_00111,1,boleto,5,213.85
order_00112,1,credit_card,4,403.67
order_00113,1,credit_card,1,535.83
order_00114,1,credit_card,3,414.68
order_00115,1,credit_card,2,356.33
order_00116,1,credit_card,6,205.95
order_00117,1,credit_card,2,343.83
order_00118,1,credit_card,4,126.23
order_00119,1,boleto,6,393.52
order_00120,1,credit_card,5,681.7
order_00121,1,credit_card,5,849.7
order_00122,1,credit_card,6,744.56
order_00123,1,credit_card,7,745.76
order_00124,1,credit_card,5,1158.53
order_00125,1,credit_card,3,430.14
order_00126,1,debit_card,6,779.82
order_00127,1,credit_card,7,449.94
order_00128,1,credit_card,4,918.63
order_00129,1,boleto,5,643.86
order_00130,1,debit_card,4,378.98
order_00131,1,credit_card,1,822.22
order_00132,1,credit_card,7,630.59
order_00133,1,credit_card,1,439.12
order_00134,1,credit_card,5,85.22
order_00135,1,credit_card,7,1035.28
order_00136,1,debit_card,5,631.09
order_00137,1,voucher,4,679.73
order_00138,1,credit_card,2,491.66
order_00139,1,credit_card,4,988.17
order_00140,1,credit_card,2,80.05
order_00141,1,credit_card,7,159.48
order_00142,1,credit_card,1,650.73
order_00143,1,debit_card,2,959.8
order_00144,1,boleto,2,552.99
order_00145,1,voucher,5,624.75
order_00146,1,credit_card,7,223.17
order_00147,1,credit_card,6,497.44
order_00148,1,credit_card,3,582.97
order_00149,1,boleto,6,249.94
order_00150,1,credit_card,4,747.75
order_00151,1,credit_card,2,927.67
order_00152,1,credit_card,2,71.83
order_00153,1,boleto,7,916.04
order_00154,1,voucher,6,247.94
order_00155,1,boleto,2,102.09
order_00156,1,voucher,3,617.17
order_00157,1,voucher,7,817.55
order_00158,1,boleto,4,646.55
order_00159,1,credit_card,6,1073.71
order_00160,1,debit_card,5,605.56
order_00161,1,credit_card,5,471.38
order_00162,1,credit_card,4,337.12
order_00163,1,credit_card,5,305.32
order_00164,1,credit_card,1,182.86
order_00165,1,boleto,2,246.32
order_00166,1,boleto,4,328.61
order_00167,1,boleto,1,869.86
order_00168,1,credit_card,6,802.92
order_00169,1,credit_card,7,325.76
order_00170,1,boleto,3,729.13
order_00171,1,credit_card,4,675.88
order_00172,1,credit_card,2,847.3
order_00173,1,boleto,6,558.46
order_00174,1,credit_card,2,202.68
order_00175,1,credit_card,6,663.29
order_00176,1,boleto,3,168.16
order_00177,1,credit_card,2,705.19
order_00178,1,credit_card,1,247.66
order_00179,1,credit_card,7,745.61
order_00180,1,credit_card,7,844.46
order_00181,1,credit_card,4,350.57
order_00182,1,boleto,3,55.69
order_00183,1,credit_card,2,563.78
order_00184,1,credit_card,3,630.99
order_00185,1,credit_card,2,574.54
order_00186,1,boleto,6,224.39
order_00187,1,credit_card,1,955.33
order_00188,1,debit_card,4,164.89
order_00189,1,boleto,3,293.36
order_00190,1,credit_card,1,314.35
order_00191,1,credit_card,6,153.26
order_00192,1,credit_card,3,136.32
order_00193,1,credit_card,3,523.04
order_00194,1,credit_card,2,785.63
order_00195,1,boleto,4,269.03
order_00196,1,credit_card,5,442.05
order_00197,1,voucher,5,108.25
order_00198,1,credit_card,1,850.73
order_00199,1,boleto,4,712.76
order_00200,1,voucher,4,410.47
order_00201,1,credit_card,1,886.46
order_00202,1,voucher,2,519.13
order_00203,1,credit_card,7,974.35
order_00204,1,credit_card,2,429.47
order_00205,1,credit_card,1,497.37
order_00206,1,boleto,3,782.15
order_00207,1,credit_card,3,801.09
order_00208,1,credit_card,3,439.83
order_00209,1,boleto,5,1047.51
order_00210,1,credit_card,3,213.12
order_00211,1,credit_card,1,355.87
order_00212,1,boleto,4,820.54
order_00213,1,debit_card,2,361.8
order_00214,1,credit_card,1,352.87
order_00215,1,credit_card,7,436.54
order_00216,1,voucher,7,85.25
order_00217,1,credit_card,2,694.35
order_00218,1,credit_card,7,479.74
order_00219,1,credit_card,7,414.63
order_00220,1,credit_card,1,803.77
order_00221,1,credit_card,7,702.34
order_00222,1,credit_card,2,104.66
order_00223,1,voucher,6,700.83
order_00224,1,credit_card,2,399.97
order_00225,1,voucher,6,95.75
order_00226,1,credit_card,2,956.34
order_00227,1,credit_card,3,474.49
order_00228,1,boleto,3,890.38
order_00229,1,credit_card,5,679.66
order_00230,1,boleto,5,280.17
order_00231,1,credit_card,3,657.97
order_00232,1,credit_card,5,63.16
order_00233,1,voucher,7,159.56
order_00234,1,credit_card,7,228.75
order_00235,1,boleto,5,720.0
order_00236,1,debit_card,5,315.05
order_00237,1,credit_card,1,361.88
order_00238,1,credit_card,5,768.42
order_00239,1,voucher,7,1114.53
