review_id,order_id,review_score
review_00000,order_00000,4.0
review_00001,order_00001,
review_00002,order_00002,3.0
review_00003,order_00003,4.0
review_00004,order_00004,3.0
review_00005,order_00005,3.0
review_00006,order_00006,3.0
review_00007,order_00007,5.0
review_00008,order_00008,5.0
review_00009,order_00009,3.0
review_00010,order_00010,2.0
review_00011,order_00011,3.0
review_00012,order_00012,2.0
review_00013,order_00013,2.0
review_00014,order_00014,3.0
review_00015,order_00015,2.0
review_00016,order_00016,3.0
review_00017,order_00017,
review_00018,order_00018,4.0
review_00019,order_00019,2.0
review_00020,order_00020,3.0
review_00021,order_00021,3.0
review_00022,order_00022,5.0
review_00023,order_00023,2.0
review_00024,order_00024,5.0
review_00025,order_00025,3.0
review_00026,order_00026,4.0
review_00027,order_00027,5.0
review_00028,order_00028,4.0
review_00029,order_00029,2.0
review_00030,order_00030,4.0
review_00031,order_00031,5.0
review_00032,order_00032,2.0
review_00033,order_00033,4.0
review_00034,order_00034,2.0
review_00035,order_00035,5.0
review_00036,order_00036,5.0
review_00037,order_00037,5.0
review_00038,order_00038,5.0
review_00039,order_00039,4.0
review_00040,order_00040,5.0
review_00041,order_00041,5.0
review_00042,order_00042,3.0
review_00043,order_00043,2.0
review_00044,order_00044,3.0
review_00045,order_00045,2.0
review_00046,order_00046,4.0
review_00047,order_00047,4.0
review_00048,order_00048,4.0
review_00049,order_00049,4.0
review_00050,order_00050,3.0
review_00051,order_00051,5.0
review_00052,order_00052,4.0
review_00053,order_00053,5.0
review_00054,order_00054,5.0
review_00055,order_00055,5.0
review_00056,order_00056,5.0
review_00057,order_00057,4.0
review_00058,order_00058,4.0
review_00059,order_00059,2.0
review_00060,order_00060,3.0
review_00061,order_00061,5.0
review_00062,order_00062,5.0
review_00063,order_00063,4.0
review_00064,order_00064,2.0
review_00065,order_00065,5.0
review_00066,order_00066,5.0
review_00067,order_00067,4.0
review_00068,order_00068,5.0
review_00069,order_00069,4.0
review_00070,order_00070,5.0
review_00071,order_00071,5.0
review_00072,order_00072,2.0
review_00073,order_00073,3.0
review_00074,order_00074,3.0
review_00075,order_00075,4.0
review_00076,order_00076,2.0
review_00077,order_00077,3.0
review_00078,order_00078,2.0
review_00079,order_00079,3.0
review_00080,order_00080,4.0
review_00081,order_00081,
review_00082,order_00082,4.0
review_00083,order_00083,4.0
review_00084,order_00084,
review_00085,order_00085,5.0
review_00086,order_00086,1.0
review_00087,order_00087,4.0
review_00088,order_00088,
review_00089,order_00089,4.0
review_00090,order_00090,4.0
review_00091,order_00091,4.0
review_00092,order_00092,3.0
review_00093,order_00093,4.0
review_00094,order_00094,3.0
review_00095,order_00095,
review_00096,order_00096,5.0
review_00097,order_00097,1.0
review_00098,order_00098,5.0
review_00099,order_00099,3.0
review_00100,order_00100,3.0
review_00101,order_00101,2.0
review_00102,order_00102,4.0
review_00103,order_00103,5.0
review_00104,order_00104,2.0
review_00105,order_00105,2.0
review_00106,order_00106,4.0
review_00107,order_00107,4.0
review_00108,order_00108,4.0
review_00109,order_00109,4.0
review_00110,order_00110,5.0
review_00111,order_00111,4.0
review_00112,order_00112,5.0
review_00113,order_00113,3.0
