order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,late_flag
order_00000,customer_0038,delivered,2025-11-08 00:00:00,2025-11-09 00:00:00,2025-11-12 00:00:00,2025-11-19 00:00:00,2025-11-25 00:00:00,0.0
order_00001,customer_0096,canceled,2025-10-11 00:00:00,2025-10-12 00:00:00,2025-10-14 00:00:00,,2025-10-25 00:00:00,
order_00002,customer_0069,delivered,2025-10-23 00:00:00,2025-10-24 00:00:00,2025-10-25 00:00:00,2025-11-06 00:00:00,2025-11-02 00:00:00,1.0
order_00003,customer_0093,delivered,2025-03-14 00:00:00,2025-03-15 00:00:00,2025-03-16 00:00:00,2025-03-23 00:00:00,2025-03-28 00:00:00,0.0
order_00004,customer_0075,delivered,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-08 00:00:00,2025-01-11 00:00:00,2025-01-20 00:00:00,0.0
order_00005,customer_0077,delivered,2025-11-29 00:00:00,2025-11-29 00:00:00,2025-12-02 00:00:00,2025-12-17 00:00:00,2025-12-08 00:00:00,1.0
order_00006,customer_0073,delivered,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-20 00:00:00,2025-05-10 00:00:00,2025-04-28 00:00:00,1.0
order_00007,customer_0093,delivered,2025-08-28 00:00:00,2025-08-28 00:00:00,2025-08-31 00:00:00,2025-09-12 00:00:00,2025-09-14 00:00:00,0.0
order_00008,customer_0088,delivered,2025-11-28 00:00:00,2025-11-28 00:00:00,2025-12-02 00:00:00,2025-12-12 00:00:00,2025-12-15 00:00:00,0.0
order_00009,customer_0016,delivered,2025-01-14 00:00:00,2025-01-14 00:00:00,2025-01-18 00:00:00,2025-02-07 00:00:00,2025-01-29 00:00:00,1.0
order_00010,customer_0099,delivered,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-05 00:00:00,2025-01-24 00:00:00,2025-01-15 00:00:00,1.0
order_00011,customer_0064,delivered,2025-01-02 00:00:00,2025-01-03 00:00:00,2025-01-04 00:00:00,2025-01-27 00:00:00,2025-01-14 00:00:00,1.0
order_00012,customer_0038,delivered,2025-02-27 00:00:00,2025-02-27 00:00:00,2025-03-02 00:00:00,2025-03-26 00:00:00,2025-03-11 00:00:00,1.0
order_00013,customer_0061,delivered,2025-01-19 00:00:00,2025-01-20 00:00:00,2025-01-21 00:00:00,2025-02-13 00:00:00,2025-02-05 00:00:00,1.0
order_00014,customer_0116,delivered,2025-10-27 00:00:00,2025-10-27 00:00:00,2025-10-30 00:00:00,2025-11-23 00:00:00,2025-11-09 00:00:00,1.0
order_00015,customer_0102,delivered,2025-08-10 00:00:00,2025-08-11 00:00:00,2025-08-14 00:00:00,2025-08-22 00:00:00,2025-08-21 00:00:00,1.0
order_00016,customer_0100,delivered,2025-12-24 00:00:00,2025-12-25 00:00:00,2025-12-26 00:00:00,2026-01-10 00:00:00,2025-12-30 00:00:00,1.0
order_00017,customer_0055,canceled,2025-10-20 00:00:00,2025-10-20 00:00:00,2025-10-23 00:00:00,,2025-10-28 00:00:00,
order_00018,customer_0094,delivered,2025-12-18 00:00:00,2025-12-18 00:00:00,2025-12-19 00:00:00,2025-12-30 00:00:00,2026-01-07 00:00:00,0.0
order_00019,customer_0046,delivered,2025-03-29 00:00:00,2025-03-30 00:00:00,2025-04-01 00:00:00,2025-04-21 00:00:00,2025-04-15 00:00:00,1.0
order_00020,customer_0082,delivered,2025-04-16 00:00:00,2025-04-17 00:00:00,2025-04-18 00:00:00,2025-05-09 00:00:00,2025-05-08 00:00:00,1.0
order_00021,customer_0076,delivered,2025-11-07 00:00:00,2025-11-07 00:00:00,2025-11-09 00:00:00,2025-12-01 00:00:00,2025-11-20 00:00:00,1.0
order_00022,customer_0029,delivered,2025-03-31 00:00:00,2025-04-01 00:00:00,2025-04-03 00:00:00,2025-04-11 00:00:00,2025-04-14 00:00:00,0.0
order_00023,customer_0031,delivered,2025-01-21 00:00:00,2025-01-22 00:00:00,2025-01-22 00:00:00,2025-02-08 00:00:00,2025-02-05 00:00:00,1.0
order_00024,customer_0007,delivered,2025-09-02 00:00:00,2025-09-02 00:00:00,2025-09-05 00:00:00,2025-09-14 00:00:00,2025-09-15 00:00:00,0.0
order_00025,customer_0016,delivered,2025-10-20 00:00:00,2025-10-20 00:00:00,2025-10-23 00:00:00,2025-10-30 00:00:00,2025-10-29 00:00:00,1.0
order_00026,customer_0052,delivered,2025-12-20 00:00:00,2025-12-20 00:00:00,2025-12-22 00:00:00,2025-12-27 00:00:00,2026-01-02 00:00:00,0.0
order_00027,customer_0057,delivered,2025-12-05 00:00:00,2025-12-06 00:00:00,2025-12-06 00:00:00,2025-12-16 00:00:00,2025-12-26 00:00:00,0.0
order_00028,customer_0019,delivered,2025-02-13 00:00:00,2025-02-14 00:00:00,2025-02-15 00:00:00,2025-03-04 00:00:00,2025-02-28 00:00:00,1.0
order_00029,customer_0050,delivered,2025-10-09 00:00:00,2025-10-10 00:00:00,2025-10-10 00:00:00,2025-11-04 00:00:00,2025-10-31 00:00:00,1.0
order_00030,customer_0072,delivered,2025-11-05 00:00:00,2025-11-06 00:00:00,2025-11-07 00:00:00,2025-11-20 00:00:00,2025-11-15 00:00:00,1.0
order_00031,customer_0027,delivered,2025-09-12 00:00:00,2025-09-12 00:00:00,2025-09-15 00:00:00,2025-09-22 00:00:00,2025-10-04 00:00:00,0.0
order_00032,customer_0040,delivered,2025-10-27 00:00:00,2025-10-27 00:00:00,2025-10-28 00:00:00,2025-11-11 00:00:00,2025-11-08 00:00:00,1.0
order_00033,customer_0044,delivered,2025-11-02 00:00:00,2025-11-02 00:00:00,2025-11-05 00:00:00,2025-11-13 00:00:00,2025-11-25 00:00:00,0.0
order_00034,customer_0060,delivered,2025-06-12 00:00:00,2025-06-12 00:00:00,2025-06-13 00:00:00,2025-06-22 00:00:00,2025-06-20 00:00:00,1.0
order_00035,customer_0043,delivered,2025-01-15 00:00:00,2025-01-16 00:00:00,2025-01-19 00:00:00,2025-02-03 00:00:00,2025-02-07 00:00:00,0.0
order_00036,customer_0088,delivered,2025-06-16 00:00:00,2025-06-17 00:00:00,2025-06-19 00:00:00,2025-06-29 00:00:00,2025-07-02 00:00:00,0.0
order_00037,customer_0039,delivered,2025-03-15 00:00:00,2025-03-15 00:00:00,2025-03-17 00:00:00,2025-03-23 00:00:00,2025-03-26 00:00:00,0.0
order_00038,customer_0052,delivered,2025-02-11 00:00:00,2025-02-12 00:00:00,2025-02-14 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,0.0
order_00039,customer_0045,delivered,2025-02-15 00:00:00,2025-02-16 00:00:00,2025-02-16 00:00:00,2025-02-24 00:00:00,2025-02-27 00:00:00,0.0
order_00040,customer_0021,delivered,2025-09-12 00:00:00,2025-09-12 00:00:00,2025-09-13 00:00:00,2025-09-24 00:00:00,2025-09-28 00:00:00,0.0
order_00041,customer_0082,delivered,2025-07-04 00:00:00,2025-07-05 00:00:00,2025-07-08 00:00:00,2025-07-08 00:00:00,2025-07-13 00:00:00,0.0
order_00042,customer_0028,delivered,2025-07-17 00:00:00,2025-07-18 00:00:00,2025-07-21 00:00:00,2025-08-01 00:00:00,2025-07-26 00:00:00,1.0
order_00043,customer_0035,delivered,2025-09-29 00:00:00,2025-09-30 00:00:00,2025-09-30 00:00:00,2025-10-16 00:00:00,2025-10-14 00:00:00,1.0
order_00044,customer_0095,delivered,2025-07-20 00:00:00,2025-07-21 00:00:00,2025-07-22 00:00:00,2025-08-14 00:00:00,2025-08-03 00:00:00,1.0
order_00045,customer_0113,delivered,2025-08-18 00:00:00,2025-08-18 00:00:00,2025-08-19 00:00:00,2025-08-30 00:00:00,2025-08-24 00:00:00,1.0
order_00046,customer_0080,delivered,2025-02-01 00:00:00,2025-02-02 00:00:00,2025-02-03 00:00:00,2025-02-11 00:00:00,2025-02-18 00:00:00,0.0
order_00047,customer_0109,delivered,2025-11-07 00:00:00,2025-11-07 00:00:00,2025-11-09 00:00:00,2025-11-15 00:00:00,2025-11-20 00:00:00,0.0
order_00048,customer_0102,delivered,2025-06-13 00:00:00,2025-06-14 00:00:00,2025-06-15 00:00:00,2025-06-26 00:00:00,2025-06-21 00:00:00,1.0
order_00049,customer_0057,delivered,2025-02-26 00:00:00,2025-02-26 00:00:00,2025-03-01 00:00:00,2025-03-07 00:00:00,2025-03-09 00:00:00,0.0
order_00050,customer_0092,delivered,2025-10-24 00:00:00,2025-10-24 00:00:00,2025-10-25 00:00:00,2025-11-16 00:00:00,2025-11-13 00:00:00,1.0
order_00051,customer_0039,delivered,2025-09-26 00:00:00,2025-09-27 00:00:00,2025-09-30 00:00:00,2025-10-05 00:00:00,2025-10-07 00:00:00,0.0
