product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
prod_000,health_beauty,5607,37,23,54
prod_001,watches_gifts,5414,17,33,48
prod_002,sports_leisure,1943,51,16,9
prod_003,computers_accessories,4179,38,36,18
prod_004,computers_accessories,1240,29,27,46
prod_005,toys,4975,23,23,10
prod_006,health_beauty,4613,43,25,48
prod_007,watches_gifts,2433,50,27,21
prod_008,bed_bath_table,627,66,6,51
prod_009,health_beauty,6315,36,10,21
prod_010,sports_leisure,3007,19,14,28
prod_011,toys,5826,59,9,39
prod_012,watches_gifts,4470,47,22,13
prod_013,watches_gifts,5103,52,31,34
prod_014,watches_gifts,4987,15,31,31
prod_015,watches_gifts,1426,28,23,44
prod_016,sports_leisure,2492,56,39,54
prod_017,health_beauty,3140,59,27,39
prod_018,toys,3336,36,8,27
prod_019,computers_accessories,475,58,35,27
prod_020,sports_leisure,3643,60,27,27
prod_021,computers_accessories,1172,33,30,46
prod_022,bed_bath_table,4883,63,27,23
prod_023,toys,4503,27,27,15
prod_024,watches_gifts,6011,24,8,23
prod_025,sports_leisure,4892,50,27,9
prod_026,computers_accessories,2509,48,36,12
prod_027,watches_gifts,6295,18,17,12
prod_028,sports_leisure,2788,59,29,44
prod_029,computers_accessories,2252,21,6,41
prod_030,computers_accessories,5904,58,18,40
prod_031,bed_bath_table,2533,10,22,29
prod_032,health_beauty,680,57,44,41
prod_033,sports_leisure,3158,57,13,15
prod_034,toys,5212,56,16,50
prod_035,health_beauty,1393,49,21,31
