seller_id,seller_zip_code_prefix,seller_city,seller_state
seller_000,8846,Sao Paulo,SP
seller_001,10542,Belo Horizonte,MG
seller_002,45254,Rio de Janeiro,RJ
seller_003,90356,Sao Paulo,SP
seller_004,13629,Sao Paulo,SP
seller_005,46121,Belo Horizonte,MG
seller_006,70698,Sao Paulo,SP
seller_007,21033,Sao Paulo,SP
seller_008,72439,Sao Paulo,SP
seller_009,31289,Porto Alegre,RS
seller_010,81056,Curitiba,PR
seller_011,58342,Belo Horizonte,MG
seller_012,55143,Sao Paulo,SP
seller_013,18500,Porto Alegre,RS
seller_014,46856,Salvador,BA
seller_015,85803,Belo Horizonte,MG
seller_016,2932,Rio de Janeiro,RJ
seller_017,76092,Sao Paulo,SP
