order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
order_00000,1,prod_016,seller_016,2025-11-11 00:00:00,133.33,27.77
order_00000,2,prod_024,seller_004,2025-11-11 00:00:00,252.14,59.72
order_00001,1,prod_005,seller_005,2025-10-14 00:00:00,363.71,57.12
order_00002,1,prod_032,seller_012,2025-10-26 00:00:00,230.47,40.81
order_00002,2,prod_008,seller_005,2025-10-26 00:00:00,194.8,47.38
order_00002,3,prod_016,seller_017,2025-10-26 00:00:00,382.25,39.33
order_00003,1,prod_027,seller_010,2025-03-17 00:00:00,243.43,38.74
order_00004,1,prod_035,seller_008,2025-01-09 00:00:00,319.17,19.34
order_00004,2,prod_015,seller_005,2025-01-09 00:00:00,69.14,13.11
order_00005,1,prod_030,seller_007,2025-12-02 00:00:00,323.26,28.82
order_00005,2,prod_016,seller_003,2025-12-02 00:00:00,145.18,12.61
order_00005,3,prod_000,seller_004,2025-12-02 00:00:00,128.56,7.79
order_00006,1,prod_010,seller_002,2025-04-19 00:00:00,26.73,53.5
order_00006,2,prod_003,seller_002,2025-04-19 00:00:00,261.84,36.12
order_00006,3,prod_024,seller_007,2025-04-19 00:00:00,46.86,51.52
order_00007,1,prod_009,seller_004,2025-08-31 00:00:00,381.37,40.63
order_00007,2,prod_000,seller_012,2025-08-31 00:00:00,99.52,45.38
order_00007,3,prod_005,seller_002,2025-08-31 00:00:00,258.97,57.99
order_00008,1,prod_008,seller_009,2025-12-01 00:00:00,209.85,32.47
order_00008,2,prod_026,seller_004,2025-12-01 00:00:00,36.48,32.15
order_00008,3,prod_017,seller_012,2025-12-01 00:00:00,25.41,35.88
order_00009,1,prod_033,seller_015,2025-01-17 00:00:00,343.83,47.6
order_00009,2,prod_021,seller_000,2025-01-17 00:00:00,208.96,42.95
order_00010,1,prod_020,seller_015,2025-01-05 00:00:00,107.88,36.56
order_00011,1,prod_016,seller_003,2025-01-05 00:00:00,390.13,25.66
order_00011,2,prod_006,seller_010,2025-01-05 00:00:00,25.18,56.77
order_00011,3,prod_033,seller_009,2025-01-05 00:00:00,22.84,49.81
order_00012,1,prod_034,seller_012,2025-03-02 00:00:00,408.23,40.66
order_00012,2,prod_028,seller_001,2025-03-02 00:00:00,359.62,43.39
order_00012,3,prod_033,seller_011,2025-03-02 00:00:00,185.74,41.59
order_00013,1,prod_021,seller_001,2025-01-22 00:00:00,311.37,53.51
order_00013,2,prod_026,seller_009,2025-01-22 00:00:00,222.95,30.43
order_00013,3,prod_017,seller_016,2025-01-22 00:00:00,312.72,32.87
order_00014,1,prod_032,seller_012,2025-10-30 00:00:00,204.5,57.53
order_00014,2,prod_018,seller_013,2025-10-30 00:00:00,104.53,53.96
order_00015,1,prod_035,seller_006,2025-08-13 00:00:00,266.7,44.85
order_00016,1,prod_002,seller_008,2025-12-27 00:00:00,414.9,11.48
order_00016,2,prod_016,seller_001,2025-12-27 00:00:00,289.03,19.61
order_00017,1,prod_013,seller_012,2025-10-23 00:00:00,132.62,19.41
order_00017,2,prod_017,seller_000,2025-10-23 00:00:00,227.07,41.24
order_00018,1,prod_026,seller_007,2025-12-21 00:00:00,401.1,44.98
order_00018,2,prod_006,seller_002,2025-12-21 00:00:00,373.81,38.04
